2,-0.292024,-1.35128,-1.73843,-0.342616,2.83864,2.62164,-0.0380333
3,-0.657196,-2.27163,1.32487,-0.0978747,3.63797,0.790723,-3.41376
4,1.36422,-1.29661,-0.384658,-0.553006,3.03087,0.501984,-1.30385
6,1.33161,1.63596,0.875974,-1.6778,3.10634,2.41417,-1.84742
9,-0.727983,-0.44282,-4.09222,0.597513,0.393714,2.18561,1.62086
11,2.45096,-0.564177,-1.63504,0.9424,-2.08732,1.29432,1.21432
13,-1.34553,-1.6237,2.04414,1.75481,0.997567,1.72403,0.43418
14,2.83958,-0.344798,-1.0198,0.894581,-1.30006,1.70971,0.582379
17,-0.0743702,-4.71475,0.249768,2.93532,1.40976,1.25097,-2.64381
18,-0.302364,1.7244,-2.44234,3.46511,0.449792,2.49378,-0.0743625
21,1.17759,-0.721654,-1.38712,7.61985,1.06929,2.64295,-3.73481
22,-2.42395,-0.698501,0.14603,0.630106,2.99056,3.18419,0.779473
23,0.135714,-0.753757,-2.19615,1.03928,0.580538,2.08662,0.227309
26,-0.300698,-0.513603,0.921006,1.37817,2.27475,-2.93403,0.745336
28,1.44605,1.65669,-1.77752,1.70896,-0.34167,-1.15813,-1.32244
29,-0.595825,1.53468,-1.76932,0.664502,-0.432874,1.64595,0.800439
31,-2.56087,-0.0964117,2.41377,1.31829,3.27169,-2.63684,-1.79718
32,1.68166,-2.98167,-0.0798051,-0.947866,3.03481,1.16697,-0.708611
33,-0.588796,-1.12199,2.3243,0.311931,5.14874,5.56011,-3.35199
34,-0.0343679,-1.33281,2.3291,2.86276,0.825239,2.30033,1.06267
39,1.28674,-2.42952,0.956133,1.47754,4.78638,2.51935,-3.38236
40,1.19655,-1.4481,-0.921517,2.00549,0.404741,1.07113,-0.700779
41,-0.35419,-2.02404,1.36698,3.23362,0.992669,2.74092,1.52561
43,0.807854,0.752707,0.179226,1.45158,-1.61186,0.184906,-2.77627
44,3.93036,2.75441,-2.66795,1.42825,0.0927612,2.62727,1.09579
45,0.0334709,-0.044161,-0.481202,4.93721,-0.609873,1.24879,-3.2315
46,-0.487367,-0.768805,-0.779232,2.02526,1.47793,-4.45457,0.267788
47,-1.38799,2.73851,-2.34922,0.953438,1.86072,3.09782,2.31731
48,-3.32857,0.652577,-1.4244,0.727385,1.57692,0.650678,2.5778
49,-1.10706,2.2612,-2.6352,0.882265,-0.0239954,2.86505,2.2181
51,-0.411308,-1.7586,-2.21386,-0.149535,1.57618,1.41698,0.929197
52,1.34376,-2.51442,-3.46154,3.84115,0.280515,0.856229,-0.0254368
53,1.20545,-1.78351,0.652683,2.44298,1.34691,-1.19866,1.11506
55,2.0328,-0.641021,-2.40969,2.93613,1.67548,2.28735,-0.904589
56,1.82266,-0.545617,-0.367821,0.252983,-0.789107,-3.34396,2.13591
57,1.09849,-1.02037,1.21113,1.26018,-1.0299,2.66255,2.62274
58,-0.479883,-0.0791954,-0.843547,3.04957,3.66384,-1.47354,-0.365699
59,0.833098,0.449714,-1.63855,-0.631338,2.83091,1.04943,-0.66886
60,-3.46416,1.35211,0.458026,0.892747,3.12982,-2.20461,-1.74467
62,-3.34149,-1.35556,1.43365,1.72236,0.112912,1.61918,0.688788
65,-3.5679,1.04374,2.5634,0.437277,1.67852,2.07198,-5.31384
66,-2.18893,2.13175,0.260841,3.88605,-3.19626,0.0895129,-3.56059
67,-1.56976,1.05986,1.51888,1.6661,3.06893,2.76946,-1.48035
70,0.610132,-3.46082,1.33676,0.387452,-0.136781,-2.04477,2.98865
71,2.3544,-2.66027,2.61542,-3.29121,4.60445,3.68958,-1.24012
72,0.562851,-1.82799,-4.62224,-0.325735,2.5788,1.15277,2.48154
73,0.0394137,-1.13743,0.477732,1.65648,-3.25623,0.528699,-0.503584
75,2.16059,-1.60813,-3.14954,1.35426,2.16931,1.46604,0.561455
76,2.24978,1.30681,-3.36214,-3.29234,1.53637,0.171704,2.32269
77,0.913367,0.238228,-0.866453,0.411079,0.777247,0.269082,-0.690558
80,1.9069,-0.286557,-0.642276,-0.909687,0.567271,2.33128,0.447677
83,1.41035,-6.23511,0.606679,2.78153,0.188419,1.78747,-1.65557
84,1.75627,-2.07825,-1.347,1.57071,0.205595,-0.15988,3.3323
86,1.88965,-1.23488,-2.00323,1.61822,0.360724,0.124914,2.71221
87,0.523551,-0.785293,0.307177,-0.773882,1.22045,1.35549,-1.3297
89,1.28832,0.118324,-2.03989,1.25421,0.421781,0.0643522,0.273823
90,0.516948,0.643781,-2.75288,1.26594,0.71429,-2.96742,1.04106
